job_id,company_id,job_title,description,work_type,location,experience_level,sponsored
3757934320,1997035,Business Analyst Sr - Hybrid Nasville,"Duties And Responsibilities

Below is a list of responsibilities that—while not comprehensive—provides an overview of the duties of the Evidence Coordinator within the Office of Evidence and Impact in an interim capacity (through September 30, 2024):

 Maintain existing data dashboards regarding the evidence base for the state budget through an annual refresh process.  Lead the development of new budget dashboards or views as requested by the OEI deputy director.  Create and execute a plan to scale up the preparation and execution of processes related to the annual collection of outcome data to update agency program inventories, specifically determining the best way to collect and store the data.  Develop and document requirements, design, plan and implement new dashboards/views utilizing department outcome and budget data collected through the program inventory process.  Finalize requirements for a redesign of the public-facing program inventory, develop an action plan and determine resources required, and initiate the redesign (assuming appropriate resources are in place).  Limited data entry to support the activities above, as needed. 

The Evidence Coordinator will report directly to the Deputy Director of the Office of Evidence and Impact.

Skills And Qualifications

The candidate should have at least a bachelor’s degree with preference toward individuals with a master’s degree and at least two years of work experience. In addition, the candidate should possess the following qualifications:

Basic skills and experience wrangling data (additional experience with database design preferred). Experience engaging with customers to develop project requirements for dashboards (additional UI/UX design experience for other types of work products strongly preferred) Experience writing accurate and comprehensive project plans. Intermediate skills and experience with data visualization techniques and software, including Tableau. Experience writing, interpreting, and applying business rules to data. Ability to design and scale excellent operational processes. Strong situational analysis and decision-making abilities.  Ability to think strategically, problem-solve, juggle multiple priorities, and remain attentive to details. Excellent communications skills, including an ability to communicate with a diverse audience (verbally and in writing) that includes both technical and non-technical stakeholders. Demonstrated project management and organizational skills. Ownership of results, with a standard for excellence 

Requirements

Type

Category

Qualification

Description

Competency

Required

Skills

Others

Project Management

Demonstrated project management and organizational skills

Novice (1-3 Years)

Yes

Skills

Others

Project Planning

Experience writing comprehensive project plans

Novice (1-3 Years)

Yes

Skills

Others

Strategic Thinking

Strong situational analysis and decision making abilities; Strategic thinking, problem solving, and juggling priorities

Novice (1-3 Years)

Yes

Skills

Others

Tableau Software

Experience with data visualization techniques and software

Novice (1-3 Years)

Yes

Skills

Others

Verbal Communication

No

Education

Others

Bachelors Degree

Yes

",Contract,TN,Mid-Senior level,0
3757907564,1680,Business Analyst,"Cognizant Technology Solutions is seeking a “Business Analyst” who could join our team of IT professionals in a permanent role. If you meet our background requirements and skills and looking for an opportunity to be rewarded for your skills and expertise, here is the ideal opportunity for you!

“Cognizant will not sponsor H-1B or other U.S. work authorization, or lawful permanent residence (otherwise known as a “Green Card”) for this role.

Role: Associate

Location: Louisville, KY (Remote)

Work experience required: 5-7 years

Must Have Skills

 Business Analysis & Planning Business Operations

Good To Have Skills

 Knowledge of PowerBI & Healthcare domain experience will be a plus.

Roles & Responsibilities

 Business Analysis to focus on data development, process execution and development/enhancements, and perform non-structured data modeling and analysis. Analyze and identify anomalies, support efforts to align workforce data and processes for cross-portfolio consumption. The IT Business Analyst monitors and measures relevant performance metrics to assess the performance of IT resources and optimizes performance through process improvement activities. The IT Business Analyst work assignments are varied and frequently require interpretation and independent determination of the appropriate courses of action.

Salary And Other Compensation

The annual salary for this position will depend upon experience and other qualifications of the successful candidate.

This position is also eligible for Cognizant’s discretionary annual incentive program, based on performance and subject to the terms of Cognizant’s applicable plans.

Benefits: Cognizant offers the following benefits for this position, subject to applicable eligibility requirements:

 Medical/Dental/Vision/Life Insurance Paid holidays plus Paid Time Off 401(k) plan and contributions Long-term/Short-term Disability Paid Parental Leave Employee Stock Purchase Plan

Disclaimer: The salary, other compensation, and benefits information is accurate as of the date of this posting. Cognizant reserves the right to modify this information at any time, subject to applicable law.

Cognizant is a leading provider of Information Technology, Consulting, IT Infrastructure, and Business Process Outsourcing services. Cognizant single-minded mission is to dedicate our business process and technology innovation know-how, deep industry expertise, and worldwide resources to working together with customers to make their businesses stronger. As a customer-centric, relationship-driven partner, we are redefining the way companies experience and benefit from global services. Our unique delivery model is infused with a distinct culture of high customer satisfaction. Cognizant delivers a trusted partnership, cost reductions and business results.

Employee Status : Full Time Employee

Shift : Day Job

Travel : No

Job Posting : Nov 03 2023

About Cognizant

Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 185 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @USJobsCognizant.

Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview.

Cognizant is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.

If you have a disability that requires a reasonable accommodation to search for a job opening or submit an application, please email CareersNA2@cognizant.com with your request and contact information.",Full-time,KY,Mid-Senior level,0
3757744257,1003064,Business Analyst I,"Job Title: Business Analyst I Job Type: Contract Site Type: Remote Duration: 6 Months  Job Overview: We are seeking a motivated and highly detail-oriented Business Operations Analyst. This contractor will play a crucial role in supporting our team's day-to-day operations. This role entails a wide range of responsibilities, including creating spreadsheets, managing project boards, tracking data, coordinating dates and deliverables, drafting newsletters, and mastering proprietary tools.  Job Responsibilities: Data Management: Gather, analyze, and evaluate data related to our business systems and processes Project Support: Assist in the creation and management of project boards using Asana or similar tools. Ensure project milestones and deadlines are met Document Creation: Draft and edit internal documents, presentations, and newsletters Spreadsheet Development: Create, maintain, and update spreadsheets for various purposes, including data tracking, reporting, and analysis Proprietary Tool Proficiency: Quickly learn and become proficient in using proprietary tools and software systems essential for our team's operations Support Business Strategies: Align your work with overall business strategies, ensuring that operational tasks contribute to our team's success  Job Requirements: Associate's degree in a related field is preferred, but not mandatory 1-2 years of relevant experience in business operations, administration, or a related area Proficiency in Microsoft Office Suite, particularly Excel, and other relevant software Extremely detailed-oriented and doesn’t miss any comments Ability to draft emails and newsletters Strong communication skills Strong attention to detail (non-negotiable) and excellent organizational skills Familiarity with commonly-used concepts, practices, and procedures within the tech industry Ability to work independently and collaboratively in a fast-paced environment Exceptional communication and interpersonal skills Eagerness to learn and adapt to new tools and technologies",Contract,United States,Mid-Senior level,0
3757743031,82090049,IT Business Analyst - Manufacturing IT Operations (Onsite) at LOTTE Biologics,"We are LOTTE Biologics! A new company, built on 80 years of tradition!

We embody our core values of being Inspired by Science, Embracing Diversity, Fostering Talent, and Connecting Lives. Our mission is to be the most trusted partner in the industry, with high standards of quality and continuous innovation, to reliably deliver benefits for patients worldwide.

We deliver therapies that make a Healthier World!

Responsibilities

In order to meet our mission, we are currently searching for an experienced IT Business Analyst which will mainly focus on the maintenance and life cycle management of the Syracuse site’s information technology systems such as SAP, ServiceNow, UKG, and Enterprise Health, among others. The role will also be responsible for performing cost/benefit analysis of the site’s current and prospective applications, recommending new or upgrading the current software applications as well as participate in implementation planning for those software system. As an IT Business Analyst, the individual will facilitate finding the right technology solutions to address the company's needs. The IT Business Analyst must be able to communicate efficiently, have strong problem-solving skills and be able to manage projects delivering with approved budget and timelines.

 Provide technical support across the company (either in person or over the phone/e-mail) Perform on-site or remote troubleshooting through diagnostic techniques and related queries in a timely manner Serve as the primary administrator for multiple enterprise and site applications Lead and/or perform application installs, upgrades, and configurations Monitor application performance and troubleshoot issues Create and maintain documentation for application administration procedures Coordinate with other teams to ensure application availability and meet SLAs Generate reports and dashboards for application data Provide Tier 3 support for application issues Stay up-to-date on application updates and industry trends Oversee the implementation of IT software solutions Partner with key leaders across the business to understand technology needs and work to deliver solutions that help advance the business Provide information to stakeholders creating forecasts and budgets Identify risks in current and proposed IT systems Recommend software and hardware Contribute to knowledge management as an author or reviewer as necessary Work independently on assignments where considerable judgment and initiative are required in resolving problems and making choices, recommendations, or decisions Provide off-hours support on a rotating basis as needed Provide ownership and accountability for Asset Life Cycle Management

 Remote Position 

No

Min Compensation

USD $76,000.00/Yr.

Max Compensation

USD $113,000.00/Yr.

 Bonus 

10%

Qualifications

 Education/Experience: 

 Bachelor’s degree in Information Technology, Computer Science, or related field  Good understanding of Windows OS and OS related technical issues  Experience with cloud computing platforms (AWS, Azure, Google Cloud, etc.)  Project management experience  Experience in the biopharma industry is a plus 

Knowledge, Skills, Abilities

 Working knowledge of multiple operating systems (Linux, Windows, etc.)  Experience with relational databases (MySQL, Oracle, SQL Server, etc.)  Proficient in at least one scripting language (PHP, Perl, Python, Ruby, etc.)  Strong problem-solving skills, firm understanding of how to properly troubleshoot problems  Works on routine assignments that require basic problem resolution and escalation  Ability to transform business requirements into technical solutions  Is self-motivated, and ability to multi-task in enterprise environment  Highly motivated and results-driven individual capable of operating independently within standard operating procedures / methods, with moderate supervision  Team player with an emphasis on both knowledge sharing and learning  Ability to pay attention to detail, strong in data analysis and the ability to effectively analyze information and form a judgment 

Physical Demands

Work within all Site Facilities, which requires one to give a high attention to detail and on occasion to properly use Personal Protective Equipment (PPE)

 Work Location: 

East Syracuse, NY (onsite based position)

We believe that women, people of color, veterans and LGBTQ communities must participate in the work we do, so we strongly encourage applications from people with these identities or who are members of underrepresented communities.  If this is the work that you want to do in a culture of inclusion and excellence with the goal of making our world to be a healthier place, then please apply today!

Company Website

http://www.lottebiologics.com/

Company Profile

L OTTE BIOLOGICS was established in 2022, and is headquartered in Seoul, South Korea. LOTTE BIOLOGICS entered the biologics CDMO business after acquiring Bristol Myers Squibb’s Syracuse biologics drug substance manufacturing site, as of January 1, 2023!

The newly established organization aims to become a Global Top 10 CDMO company in the biopharmaceutical industry. With initial operations in 1948 in Japan, LOTTE has grown to become the fifth-largest conglomerate corporation in South Korea. LOTTE has various business units, including petro/fine chemicals, food, retail, hotels, electronics, construction, and IT. LOTTE has 30+ global locations across the US, Europe, and Asia.

 An Equal Opportunity Employer 

We do not discriminate based on race, color, religion, national origin, sex, age, disability, genetic information, or any other status protected by law or regulation. It is our intention that all qualified applicants are given equal opportunity and that selection decisions be based on job-related factors.",Full-time,NY,Mid-Senior level,1
3757740566,4896,"Business Analyst, Senior (Short Term Employment)","Job Description

Your Role

The Pharmacy Benefits and Compliance Triage and Action Group (TAG) team has been created to support the Benefits and Compliance (B&C) team. Our overall objective is to coordinate and manage B&C-related projects and issues. The Business Analyst, Senior (Rover) will report to the TAG Manager. In this role you will be triaged to various critical projects and issues as needed. You will draw upon your SME knowledge to support and drive issues and projects to assure a successful delivery.

Your Work

In this role, you will:

Provide complex analytical support through the analysis and interpretation of data in support of cross-functional business operationsDevelop, prepare, and analyze reports with complex analysis and data for management review, and present to various levels of managementDefine business requirements and provide analysis to increase operational efficiencyProvide analytical support for multiple, complex cross-functional projects simultaneously; establish work plans and timelinesBe assigned to different teams within Benefits and Claims to support the completion of various issues and tasks. Utilize Pharmacy Benefits Operation knowledge to complete deliverables and assure successful delivery issues or projectsSuccessfully navigate a matrixed environment with multiple stakeholdersProvide weekly status reports on assigned projects and support the TAG Program ManagerAttend key project meetings as needed

Qualifications

Your Knowledge and Experience

Requires a bachelor’s degree or equivalent experience. Requires at least 5 years of prior relevant experience. Requires experience in Pharmacy Benefits implementation and operations, working with Pharmacy Benefit Manager (PBM), and strong knowledge of business and technical requirements. Requires excellent documentation and organizational skills. Desired experience developing and providing status reporting, dashboards and/or project plans to internal and/or external stakeholders. Desired experience with CVS Client Center, CVS Client Online Services (COS) and CVS RxNavigatorDesired auditing experienceDesired Excel/Data Analytics (Pivot Table, VLOOKUP) experience Desired experience documenting policies and proceduresDesired experience working with outside vendors. Desired Project Management experience

Pay Range:

The pay range for this role is: $68,800.00 to $103,200.00 for California.

Note:

Please note that this range represents the pay range for this and many other positions at Blue Shield that fall into this pay grade. Blue Shield salaries are based on a variety of factors, including the candidate's experience, location (California, Bay area, or outside California), and current employee salaries for similar roles.",Full-time,United States,Mid-Senior level,0
3757737142,82090049,"Associate IT Business Analyst, Manufacturing IT Operations (Onsite) at LOTTE Biologics","We are LOTTE Biologics! A new company, built on 80 years of tradition!

We embody our core values of being Inspired by Science, Embracing Diversity, Fostering Talent, and Connecting Lives. Our mission is to be the most trusted partner in the industry, with high standards of quality and continuous innovation, to reliably deliver benefits for patients worldwide.

We deliver therapies that make a Healthier World!

Responsibilities

In order to meet our mission, we are currently searching for an Associate IT Business Analyst which will mainly focus on the maintenance and life cycle management of the Syracuse site’s information technology systems such as SAP, ServiceNow, UKG, and Enterprise Health, among others. The role will also be responsible for performing cost/benefit analysis of the site’s current and prospective applications, recommending new or upgrading the current software applications as well as participate in implementation planning for those software system. The Associate IT Business Analyst must be able to communicate efficiently, have strong problem-solving skills and be able to manage projects delivering with approved budget and timelines.

 Provide technical support across the company (either in person or over the phone/e-mail)  Perform on-site or remote troubleshooting through diagnostic techniques and related queries in a timely manner  Serve as the primary administrator for multiple enterprise and site applications  Lead and/or perform application installs, upgrades, and configurations  Monitor application performance and troubleshoot issues  Create and maintain documentation for application administration procedures  Coordinate with other teams to ensure application availability and meet SLAs  Generate reports and dashboards for application data  Provide Tier 3 support for application issues  Stay up-to-date on application updates and industry trends  Oversee the implementation of IT software solutions  Partner with key leaders across the business to understand technology needs and work to deliver solutions that help advance the business  Provide information to stakeholders creating forecasts and budgets  Identify risks in current and proposed IT systems  Recommend software and hardware  Contribute to knowledge management as an author or reviewer as necessary  Work independently on assignments where considerable judgment and initiative are required in resolving problems and making choices, recommendations, or decisions  Provide off-hours support on a rotating basis as needed  Provide ownership and accountability for Asset Life Cycle Management 

 Remote Position 

No

Min Compensation

USD $60,000.00/Yr.

Max Compensation

USD $88,000.00/Yr.

 Bonus 

8%

Qualifications

 Education/Experience: 

 Bachelor’s degree in Information Technology, Computer Science, Cybersecuirty or related field  Good understanding of Windows OS and OS related technical issues  Experience with cloud computing platforms (AWS, Azure, Google Cloud, etc.)  Project management experience  Experience in the biopharma industry is a plus  Experience with web servers (Apache, IIS, Nginx, etc) is a plus 

Knowledge, Skills, Abilities

 Working knowledge of multiple operating systems (Linux, Windows, etc.)  Experience with relational databases (MySQL, Oracle, SQL Server, etc.)  Strong problem-solving skills, firm understanding of how to properly troubleshoot problems  Works on routine assignments that require basic problem resolution and escalation  Ability to transform business requirements into technical solutions  Is self-motivated, and ability to multi-task in enterprise environment  Highly motivated and results-driven individual capable of operating independently within standard operating procedures / methods, with moderate supervision  Team player with an emphasis on both knowledge sharing and learning  Ability to pay attention to detail, strong in data analysis and the ability to effectively analyze information and form a judgment 

Work Environment

This position is based indoors and the employee will primarily be working with others, but also independently. This position is a team & project-based position that will require occasional shift work, weekends, and holidays.

Physical Demands

Work within all Site Facilities, which requires one to give a high attention to detail and on occasion to properly use Personal Protective Equipment (PPE).

Work Location:

East Syracuse, NY (onsite based position)

We believe that women, people of color, veterans and LGBTQ communities must participate in the work we do, so we strongly encourage applications from people with these identities or who are members of underrepresented communities.  If this is the work that you want to do in a culture of inclusion and excellence with the goal of making our world to be a healthier place, then please apply today!

Company Website

http://www.lottebiologics.com/

Company Profile

L OTTE BIOLOGICS was established in 2022, and is headquartered in Seoul, South Korea. LOTTE BIOLOGICS entered the biologics CDMO business after acquiring Bristol Myers Squibb’s Syracuse biologics drug substance manufacturing site, as of January 1, 2023!

The newly established organization aims to become a Global Top 10 CDMO company in the biopharmaceutical industry. With initial operations in 1948 in Japan, LOTTE has grown to become the fifth-largest conglomerate corporation in South Korea. LOTTE has various business units, including petro/fine chemicals, food, retail, hotels, electronics, construction, and IT. LOTTE has 30+ global locations across the US, Europe, and Asia.

 An Equal Opportunity Employer 

We do not discriminate based on race, color, religion, national origin, sex, age, disability, genetic information, or any other status protected by law or regulation. It is our intention that all qualified applicants are given equal opportunity and that selection decisions be based on job-related factors.",Full-time,NY,Entry level,0
3757729208,45716,Seaware Business Analyst,"Overview

Awarded World’s Best Small Ship Cruise line, Windstar Cruises is known for intimate yacht style experience and unique voyages to the world’s best small ports and hidden harbors. Its three sailing yachts and three all-suite yachts carry just 148 to 342 guests and cruise around the world.

Our Mission: We imagine and deliver personalized and immersive experiences 180 degrees from ordinary

Our Vision: Enriching people’s perspective through inspired travel

Our Values: Welcoming, Innovative, Now, Discipline, Serve, Teamwork, Authentic, Responsible

We are currently seeing a driven professional with an existing analytical background in the Seaware platform to join the Windstar team! This new role works in conjunction with corporate and ship-based IT team members, Windstar (WSC) and Xanterra management teams, and the Seaware Operations team to provide overall support and technology product ownership for the Seaware reservations platform. You will work closely with all WSC departments to oversee the end to end use of the reservations platform to ensure that it meets the current and future needs and preferences of all business stakeholders. The position is also actively involved in the planning, design, training, and ongoing support of the reservations platform as well as other duties assigned by the Windstar Regional Director of IT.

Responsibilities

 Develop a complete understanding of how Windstar uses the Seaware platform.  Collaborate and coordinate with users from Guest Services, Revenue, Inventory, Accounting, Sales, Marketing, Hotel Operations and IT departments to determine the overall vision and roadmap for the reservations platform.  Work with business users to understand and anticipate platform needs and translate them into actionable product requirements.  Serve as primary liaison between WSC and its software vendors to track prospective product enhancements and bug fixes, managing these backlog items, and their prioritization, to ensure the evolution of the product and its ability to meet and adjust to the company’s needs.  Oversee all stages of product evolution including long-term planning, budget, design, and delivery.  Meet regularly with the Seaware Operations team and other interested stakeholders to monitor and evaluate product progress at each stage in the application lifecycle. Regularly publish meeting notes and artifacts to keep all team members apprised of the product roadmap.  Serve as primary subject matter expert (SME) on the reservations platform to provide suggestions to end users on optimal use and configuration of the various application modules.  Monitor and enforce compliance with multiple industry and government data security and data privacy mandates including PCI-DSS, GDPR, CCPA, and others.  Serve as a technical business liaison and project management counterpart while working with application software vendors used by the organization and identified as core business partners and software providers. While working with the application software vendors, this individual is responsible for business requirements gathering, functional analysis, specification and software design and documentation on needs/requirements requested in future releases of the product.  Oversee vendor system documentation and the catalog of company internal system documentation and application knowledge to ensure that it conforms to the current state and use of the application.  Manage, design, and maintain application permissions, including user roles and permissions. Perform regular audits of system permissions to ensure the application conforms to principles of least privilege.  Review, audit logins for the internal Guest Service team, travel agents, and consumer web portals. Track the usage of all Seaware environments – including production, development, test and training – by both internal and external users. Work with the Infrastructure team to make sure that virtual environments are properly provisioned to meet performance and cost objectives.  Manage and maintain reporting requirements and the reporting change list, and work with WSC and corporate resources to monitor the backlog of reporting and analytics requests.  Assist with the implementation and service delivery change process of incremental vendor software releases and interfaces. (Scheduling, Communications, System & User documentation)  Track the usage of all Seaware environment(s). Internal and External Usage  Current Dev, Test & Train environments  Assists in the patching of environments supported by Windstar and Xanterra IT to address updates as well as security vulnerabilities identified by the Infrastructure & Security team.  Work with other members of the IT team to proactively monitor the Seaware platform to identify and report issues and track their resolution.  Serve in an on-call capacity for after-hours/non-business hour support.  Monitor Revenue and Pricing, Sales and Marketing Chat(s), TEAMS, email and meetings for Seaware, My Windstar general reservation issues. 

Qualifications

 Strong existing knowledge of the Seaware reservations platform, including data dictionary, third-party interfaces and integrations.  Will follow and implement Information Security Policies  Will be familiar with basic ITIL framework.  Will be Guest and Crew focused.  Solid understanding of operational and analytical reporting requirements.  Able to read and write step by step instructions to implement and pass on operational knowledge.  Familiarity with PCI-DSS and data privacy compliance requirements  Communicate with outside sources in relation to the integrations of the reservation platform.  Basic understanding of Application development, SQL, and cloud services.",Full-time,FL,Mid-Senior level,0
3757719906,29023961,"Business Analyst, Senior","The Senior Business Analyst, will work in strong collaboration with various stakeholders on the US team including but not limited to Risk, Front Office, IT, Accounting, Settlements and Portfolio Management as well as Paris-office. The role requires a strong collaboration as well with the Gemstone-Orchestrade teams based in Europe. During the project phase, the candidate will be part of the global working on the deployment of Orchestrade worldwide.

Reporting to the IT Architecture Director, this position sits in Houston, TX is eligible for a hybrid work schedule.

The safety of our employees is our number one priority. All employees at ENGIE have both a duty and the authority to STOP WORK if unsafe acts are observed

What you’ll do:

 Migrate systems from Aligne to Orchestrade  Quickly develop a strong understanding of the business, the legacy and future ETRM systems.  Communicate effectively with both technical and non-technical stakeholders.  Gather requirements from all stakeholders, including business users, IT staff, and external partners  Present requirements and enhancement specifications to the vendor to identify or develop the best way to model a given product in Orchestrade and to test its associated solution.  Participate to the UAT phase: writing test procedures and archiving the results, onboarding of new users and final testing before migration.  For activities already migrated in Orchestrade: Second level support in case of production issue  Work closely with the IS Business Opportunity team for the development of new products in Orchestrade, define the need with business, define the implementation solution with the vendor and test it.  Complies with all ENGIE NA policies and procedures 

What you bring:

 Bachelor or Master’s degree in relevant area is preferred  Minimum seven (7) years of relevant business experience  Minimum five (5) years experiences as Business Analyst in the Energy Commodity Space  Strong knowledge on the wholesale Power and Gas market  Strong Knowledge on either Orchestrade or Aligne  Previous experience as a Business Analyst.  Good communication skills across a range of channels and audiences to clearly explain ideas to both technical and non-technical stakeholders  Ability to establish credibility, build consensus, and achieve goals through influence  Conceptual and practical thinking  Ability to take initiatives and collaborate  Ability to understand and negotiate the needs and expectations of different stakeholders  Self-Organized and capable of managing multiple parallel tasks.   

Additional Information/Conditions:

 Must be eligible to work for any U.S. employer without the need for sponsorship now or in the future  Must be available to travel up to 25% of the time and with the need for some overnight trips  Must have the ability to travel domestically and internationally on limited occasions  Frequently to Paris. Depending on the experience of the candidate, the role could require an onboarding and training phase for few months with the team in Paris.  Must be willing and able to comply with ENGIE’s policy with respect to COVID vaccination and testing  Must be willing and able to comply with all ENGIE ethics and safety policies  While performing the duties of this job, the employee is not exposed to weather conditions  The noise level in the work environment is usually moderate  Ability to meet highest attendance requirements  Ability to communicate effectively, both written and verbally  Ability to handle multiple assignments on a timely basis with a high degree of accuracy  Ability to use a company computer, calculator  Work environment characteristics described here are representative of those that must be met by an employee to successfully perform the essential functions of this job  Reasonable accommodations may be made to enable individuals with the needed assistance to perform the essential functions  Eligible for a hybrid schedule consisting of in-office and work-from-home opportunities 

Why ENGIE?

ENGIE North America isn’t just participating in the Zero-Carbon Transition, we’re leading it! Join us as we develop energy that is renewable, efficient, and accessible to everyone.

Unite with us in leading the transformation of the world of energy! ENGIE is looking for talented and motivated individuals to create the future of energy and customer solutions. Join a rewarding and flexible work environment that encourages innovation and creativity to help customers meet their energy challenges today and in the future. Are you up for the challenge?

At ENGIE, our goal is to support, promote, and thrive on diversity, equity, and inclusion. We do so for the benefit of our employees, customers, products and services, and community. ENGIE is proud to be an equal opportunity workplace, and we are firmly committed to creating an equitable and inclusive environment for all employees.

We are committed to providing employees with a work environment free of discrimination and harassment. All employment decisions at ENGIE are based on business needs, job requirements, and individual qualifications. ENGIE is committed to providing equal employment opportunities regardless of actual or perceived race, color, creed, religion, national origin, ancestry, citizenship, age, sex or gender (including pregnancy, childbirth, and related medical conditions), gender identity, or gender expression (including transgender status), sexual orientation, marital status, civil union, or domestic partnership status, military service or veteran status, physical or mental disability, protected medical condition, genetic information, or any other legally protected category (referred to as “protected characteristics”) as defined by applicable federal, state or local law in the locations where we operate.

 Salary Range: $75,915 – $126,525 USD, annually  Actual salary offered may vary depending on geography, experience, education, internal pay alignment, or other bona fide factors  In addition to salary, this position is eligible for a competitive bonus / incentive plan  At ENGIE we understand that benefits matter, we offer competitive benefit options including medical, dental and vision coverage, life insurance, employer paid short-term and long-term disability insurance, paid vacation, holidays, sick leave, parental leave, and a 401(k) Retirement Savings Plan option with a company match  More information can be found here: Discover our employee benefits 

ENGIE complies with all federal, state, and local minimum wage laws.

Your talent acquisition partner can share more specific information regarding the salary for the position based on the work location.

If you need assistance with this application or a reasonable accommodation due to a disability, you may contact us at ENGIENA-ENGIEHR@engie.com . This email address is reserved for individuals with disabilities in need of assistance and is not a means of inquiry regarding positions or application status.",Full-time,TX,Mid-Senior level,0
3757702681,2756411,Business Analyst,"🌟 Grayce…… Our Mission is Your Success 🌟   Recent college graduate with work or internship experience in Business Analysis? Grayce wants to hear from you!  
Job Position: Business Analyst - Business Skills Development Program Location: Connecticut, USA Starting Salary: $52,500  
Are you a college graduate with a background in BA? Are you ready to fast-track your professional growth? Look no further! We are looking for those with a passion for change and the experience to make it happen from the get-go! 
We are Grayce, the specialist hire-train-deploy organization, and we’re offering an incredible opportunity to accelerate your career through our 2-year comprehensive development program.  
Why Grayce?  At Grayce, we are on a mission to nurture the brightest minds and shape them into future leaders in Business change and Transformation. At Grayce, we don't just offer a job; we provide a transformational experience that sets you up for success. Here's what you can expect from our program: 🔥 Exciting Opportunities: Immerse yourself and get hands-on experience working directly for one of our partner organizations through our comprehensive 2-year program. Gain exposure to challenging projects that will elevate your skills and give you the tools to thrive. 📚 Continuous Learning: Over the course of 2 years, you'll embark on a journey of continuous learning, gaining industry-accredited qualifications and certifications including Agile Project Management, IIBS Business Analysis certifications, plus so much more. 🎓 Mentoring and Coaching: Thrive under the guidance of our experienced coaches and Technical Trainers. Tap into their expertise to enhance your career trajectory. 🤝 Inclusive Community: Grayce doesn't just talk about Diversity and Inclusion; we live and breathe it. Our community is built around an environment that values your unique perspective. 🌟 Career Transition: The ultimate goal is to transition into a permanent role with our client, opening doors to a high-flying future.  
Want to Work for Us? You’ll need…….  3.3/4 GPA or higher: A Business or Analytical focused pathway would be beneficial, but we're totally open to graduates from all subjects. Right to Work in the US: Unfortunately, we are unable to sponsor visas, so please make sure you have everything sorted before applying! Internship/Work Experience: Having experience in BA through work experience or internships would give you the opportunity to hit the ground running and the confidence to affect change from the get-go. Analytical Problem Solving: Love solving puzzles and breaking down big problems into bite-sized chunks? We're looking for analytical minds that can spot patterns and think creatively. Whether it's dissecting complex issues or finding fresh angles, your critical thinking skills will shine here. Effective Communication: Communication is key in change and transformation. We value those who can express themselves clearly, whether it's chatting with the team, updating stakeholders, or putting thoughts on paper. Being precise and persuasive with your words is one of your greatest tools. Organization and Planning: Time management, task prioritization, and structured working are your bread and butter. You'll be the project-focused expert who keeps timelines and resources in check, ensuring everything runs like clockwork.  
Compensation & Benefits:  Starting Salary: $52,500, and it gets even better after your first year! PTO: You start off with 12 days, and it goes up by one day every year you're with us. Medical, Vision & Dental: We've got you covered. Grayce covers 75% of the Medical Bronze package and 50% of the Vision and Dental Silver Package. 401(k) Personal Pension: For every 1% you contribute, Grayce chips in 0.5% (with a max 7% employee contribution).  
Join Grayce today, and together, we'll shape a brighter future! 
Grayce: Igniting Careers, Transforming Futures! 🔥 
We are Human & We Care | We are trusted, and we deliver excellence | We are Change Makers & Succeed Together.  
Please note that Grayce is unable to sponsor work visas for international applicants.",Full-time,CT,Associate,0
3757494342,11056,Business Analyst,"MUST HAVES: Bachelor degree in related field5+ years of experience as a Business AnalystExperience writing user stories Agile and waterfall experience  Plusses:Finance or accounting backgroundServiceNow or Workflow FIS (cash management) Accounts payable experienceJDE experienceAny relevant certifications   Day to day:This Business Analyst will be responsible for understanding and executing the strategic direction of the Financial Applications in the Corporate Domain. The Business Analyst will be responsible for translating that direction into product roadmaps, user stories, product specifications, diagrams and more. This role is responsible for collaborating with various business, technology and operations team members and leaders to help collect and analyze business requirements and outcomes to focus product strategy and direction within the organization.",Full-time,FL,Mid-Senior level,0
